HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
99,19,1.13964510e-04,9.48229208e-05,1.41592009e-05,457
99,20,9.13209951e-05,2.45114516e-05,1.67200869e-05,1415
99,21,1.69012219e-05,4.03850318e-05,1.66292739e-05,1410
99,22,8.66367627e-05,6.62376042e-05,1.83728462e-05,2524
99,23,6.32372976e-05,1.51123850e-05,1.73602220e-05,1452
99,24,3.22527812e-05,1.02683269e-04,1.65783222e-05,510
99,25,4.78695038e-05,3.94941753e-06,1.75282385e-05,205
99,26,2.47235002e-05,3.03614161e-05,1.81050382e-05,873
99,27,7.35299691e-05,3.67245484e-05,2.55493778e-05,1370
99,28,1.09026892e-04,3.73813236e-05,2.49276654e-05,974
99,29,9.72824128e-05,5.24005591e-05,2.45289084e-05,931
99,30,5.77103092e-05,8.70256044e-05,2.64717437e-05,2094
99,31,1.04308099e-04,1.14164868e-05,2.66403531e-05,120
99,32,3.06480251e-05,1.28549771e-04,2.85924307e-05,1556
99,33,6.15679819e-05,8.70594449e-05,3.16627629e-05,3272
99,34,2.50162448e-05,5.66766321e-05,2.93869780e-05,750
99,35,4.67962855e-05,8.43235903e-05,2.94040037e-05,947
99,36,1.12735739e-04,2.33937571e-05,3.18610400e-05,1001
99,37,4.57389906e-05,1.32726142e-04,3.29569702e-05,1596
99,38,5.67393654e-05,3.00826723e-05,3.26299378e-05,687
99,39,1.09475623e-05,1.21723831e-04,3.22440719e-05,87
99,40,9.31303148e-05,1.17135369e-05,3.42094354e-05,533
99,41,2.30536662e-05,5.57068779e-05,3.47369605e-05,1245
99,42,5.44187278e-05,6.39351565e-05,3.43168176e-05,731
99,43,9.86807063e-05,8.46807507e-06,3.49594484e-05,531
99,44,7.34718487e-05,5.22997689e-05,3.62757273e-05,987
99,45,1.62408087e-05,5.32755039e-05,3.57659846e-05,842
99,46,7.47650192e-05,4.74635199e-05,3.94466588e-05,3145
99,47,5.24022144e-05,7.84418298e-05,3.70422458e-05,705
99,48,3.27326197e-05,2.15375530e-05,3.67877365e-05,56
99,49,7.96307577e-05,5.49960459e-05,3.78345358e-05,804
99,50,7.53691929e-05,1.66021027e-06,3.77987926e-05,48
99,51,1.23374586e-04,7.40134783e-05,4.06760846e-05,1530
99,52,2.18411642e-05,7.13193876e-05,4.08686137e-05,652
99,53,1.15889728e-04,2.49684981e-05,4.21043442e-05,1593
99,54,1.05717612e-04,9.49519745e-05,4.18132659e-05,1009
99,55,4.80280578e-05,1.04902480e-04,4.20201759e-05,591
99,56,1.17818847e-04,3.39691396e-05,4.37387826e-05,1049
99,57,9.31665563e-05,1.18219039e-04,4.50908774e-05,1638
99,58,5.26106924e-05,9.04801927e-05,4.44659345e-05,897
99,59,1.30303873e-04,4.67368409e-05,4.49814361e-05,399
99,60,4.12399750e-05,5.55212227e-06,4.47096245e-05,375
99,61,3.41474588e-05,8.98111684e-05,4.57363458e-05,567
99,62,8.27922995e-05,1.37075811e-04,4.63481229e-05,665
99,63,5.70356933e-05,1.02399890e-05,4.61809650e-05,192
99,64,5.40213841e-05,1.09957698e-04,4.80854615e-05,676
99,65,4.66293059e-05,5.62009518e-05,4.86833014e-05,892
99,66,9.33602059e-05,1.23973459e-05,4.92216459e-05,183
99,67,8.18711123e-05,5.35121289e-05,4.97407564e-05,982
99,68,1.37305578e-05,5.14816311e-05,5.21101356e-05,2359
99,69,1.14521281e-04,5.22553419e-05,5.07357654e-05,765
99,70,9.78772950e-05,7.52239212e-05,5.06098004e-05,933
99,71,1.33760899e-04,1.16937292e-04,5.08938829e-05,349
99,72,6.94586415e-05,6.14754899e-05,5.27282064e-05,897
99,73,1.24158818e-04,8.36152030e-05,5.29057215e-05,298
99,74,3.56372257e-05,8.95410703e-05,5.27997108e-05,737
99,75,3.07398877e-05,2.66398438e-05,5.28472265e-05,633
99,76,6.54539035e-05,8.90371448e-05,5.32969243e-05,545
99,77,1.82473614e-05,9.91088746e-05,5.32593658e-05,1472
99,78,1.38733767e-05,1.03632854e-04,5.29152676e-05,453
100,1,2.72708112e-05,2.74829654e-05,7.38495999e-07,756
100,2,2.48723936e-05,8.50562283e-05,3.71687776e-07,515
100,3,5.50266632e-05,9.87226740e-05,2.48903302e-06,1556
100,4,1.03216575e-04,1.10781148e-04,7.67960330e-07,628
100,5,6.31071307e-05,1.11821944e-04,7.86487959e-08,117
100,6,9.56326039e-05,1.12739704e-04,1.92419270e-06,683
100,7,2.02524043e-05,1.14638315e-04,1.10308952e-06,1518
100,8,3.11062686e-05,1.23786012e-04,4.57843242e-07,427
100,9,5.04426316e-05,4.17918418e-05,5.73597299e-06,1135
100,10,8.70834047e-05,2.86408904e-05,5.77221863e-06,1259
100,11,2.47994321e-05,2.71085119e-05,5.78743038e-06,128
100,12,1.35808907e-04,2.27112741e-05,9.70321435e-06,1033
100,13,1.08432796e-04,4.49166546e-05,6.30145314e-06,15
100,14,5.50319746e-05,9.82264683e-05,5.99999976e-06,13
100,15,2.35622738e-05,6.03478975e-06,7.92796982e-06,748
100,16,1.09167355e-04,1.08351007e-04,8.36202344e-06,640
100,17,1.05680017e-04,1.21734309e-04,8.82465520e-06,273
100,18,5.80046071e-05,1.07051826e-04,1.00017105e-05,681
100,19,1.80138668e-05,2.46405125e-05,1.14035247e-05,1355
100,20,1.05180974e-04,1.22003417e-04,1.51507365e-05,1166
100,21,1.13731498e-04,9.56820950e-05,1.35806140e-05,384
100,22,5.84096088e-05,1.06623840e-04,1.34892725e-05,78
100,23,9.10480885e-05,2.42835868e-05,1.66513528e-05,1693
100,24,4.82659052e-05,4.28341491e-06,1.68626684e-05,1552
100,25,1.68998740e-05,4.03685808e-05,1.64669327e-05,1128
100,26,6.36925542e-05,1.51345530e-05,1.68988463e-05,945
100,27,2.53582512e-05,3.02103454e-05,1.81943924e-05,1282
100,28,8.66792107e-05,6.62762395e-05,1.85306089e-05,2491
100,29,3.21859552e-05,1.02683458e-04,1.66537138e-05,530
100,30,7.36471629e-05,3.68624678e-05,2.56522708e-05,1278
100,31,1.09127257e-04,3.74071060e-05,2.48938213e-05,1206
100,32,9.80264449e-05,5.26726872e-05,2.43790128e-05,865
100,33,5.77599130e-05,8.70461226e-05,2.63949878e-05,1891
100,34,8.50157667e-05,6.63708997e-05,2.42002334e-05,10
100,35,1.04186569e-04,1.14218947e-05,2.66534153e-05,219
100,36,8.39991771e-05,6.59125944e-05,2.63191323e-05,11
100,37,3.07681366e-05,1.28576256e-04,2.87807470e-05,1613
100,38,2.42521874e-05,5.65860137e-05,2.89659129e-05,810
100,39,9.80310651e-05,5.25603828e-05,2.69999982e-05,49
100,40,4.72935171e-05,8.38778287e-05,2.94856673e-05,1036
100,41,6.16381512e-05,8.70831282e-05,3.18955681e-05,3127
100,42,1.12634239e-04,2.33883056e-05,3.20561376e-05,825
100,43,4.56894231e-05,1.32603236e-04,3.27579619e-05,1151
